STOCK RECALCULATION FROM OPNAME - RESULTS
Product 430: 20 => 0 (-20)
Product 434: 7 => 11 (+4)
Product 439: 21 => 23 (+2)
Product 442: 40 => 60 (+20)
Product 444: 160 => 300 (+140)
Product 454: 130 => 140 (+10)
Product 455: 100 => 120 (+20)
Product 457: 180 => 130 (-50)
Product 458: 300 => 380 (+80)
Product 460: 100 => 140 (+40)
Product 461: 13 => 14 (+1)
Product 467: 3 => 0 (-3)
Product 468: 2 => 0 (-2)
Product 473: 12 => 19 (+7)
Product 494: 6 => 9 (+3)
Product 496: 4 => 14 (+10)
Product 498: 189 => 325 (+136)
Product 501: 80 => 140 (+60)
Product 502: 1 => 0 (-1)
Product 504: 180 => 295 (+115)
Product 506: 320 => 380 (+60)
Product 507: 190 => 200 (+10)
Product 509: 300 => 420 (+120)
Product 510: 90 => 190 (+100)
Product 511: 720 => 850 (+130)
Product 512: 320 => 660 (+340)
Product 514: 40 => 60 (+20)
Product 516: 15 => 20 (+5)
Product 517: 5 => 8 (+3)
Product 522: 109 => 126 (+17)
Product 523: 141 => 76 (-65)
Product 524: 130 => 160 (+30)
Product 527: 2 => 3 (+1)
Product 533: 5 => 6 (+1)
Product 534: 11 => 13 (+2)
Product 535: 11 => 13 (+2)
Product 537: 60 => 270 (+210)
Product 538: 4 => 0 (-4)
Product 542: 1 => 2 (+1)
Product 543: 64 => 73 (+9)
Product 546: 12 => 14 (+2)
Product 547: 6 => 8 (+2)
Product 557: 20 => 29 (+9)
Product 558: 10 => 21 (+11)
Product 560: 509 => 558 (+49)
Product 561: 15 => 20 (+5)
Product 562: 15 => 5 (-10)
Product 563: 120 => 320 (+200)
Product 565: 50 => 60 (+10)
Product 567: 110 => 240 (+130)
Product 570: 180 => 0 (-180)
Product 571: 4 => 2 (-2)
Product 572: 9 => 10 (+1)
Product 576: 1 => 0 (-1)
Product 578: 70 => 0 (-70)
Product 581: 50 => 0 (-50)
Product 584: 200 => 210 (+10)
Product 586: 130 => 200 (+70)
Product 593: 40 => 0 (-40)
Product 596: 7 => 8 (+1)
Product 597: 1 => 6 (+5)
Product 598: 18 => 9 (-9)
Product 599: 9 => 11 (+2)
Product 600: 5 => 9 (+4)
Product 601: 4 => 5 (+1)
Product 602: 8 => 13 (+5)
Product 607: 0 => 30 (+30)
Product 608: 130 => 370 (+240)
Product 609: 70 => 131 (+61)
Product 610: 90 => 110 (+20)
Product 611: 50 => 60 (+10)
Product 612: 290 => 360 (+70)
Product 614: 70 => 90 (+20)
Product 615: 80 => 110 (+30)
Product 616: 80 => 40 (-40)
Product 618: 130 => 210 (+80)
Product 619: 190 => 360 (+170)
Product 620: 40 => 0 (-40)
Product 623: 160 => 270 (+110)
Product 624: 15 => 32 (+17)
Product 625: 12 => 18 (+6)
Product 628: 8 => 7 (-1)
Product 634: 1000 => 1790 (+790)
Product 635: 117 => 44 (-73)
Product 639: 14 => 23 (+9)
Product 640: 2 => 3 (+1)
Product 649: 22 => 24 (+2)
Product 655: 1 => 0 (-1)
Product 656: 16 => 23 (+7)
Product 657: 16 => 40 (+24)
Product 663: 103 => 106 (+3)
Product 664: 70 => 0 (-70)
Product 666: 8 => 11 (+3)
Product 669: 60 => 0 (-60)
Product 674: 1 => 19 (+18)
Product 676: 36 => 76 (+40)
Product 677: 100 => 139 (+39)
Product 689: 200 => 410 (+210)
Product 692: 390 => 470 (+80)
Product 693: 3 => 4 (+1)
Product 694: 310 => 570 (+260)
Product 695: 300 => 570 (+270)
Product 699: 4 => 0 (-4)
Product 701: 5 => 6 (+1)
Product 702: 5 => 6 (+1)
Product 704: 3 => 7 (+4)
Product 705: 9 => 0 (-9)
Product 706: 140 => 160 (+20)
Product 708: 10 => 15 (+5)
Product 709: 4 => 0 (-4)
Product 710: 2 => 5 (+3)
Product 711: 1 => 7 (+6)
Product 715: 41 => 53 (+12)
Product 717: 430 => 1430 (+1000)
Product 718: 100 => 0 (-100)
Product 723: 23 => 32 (+9)
Product 724: 1 => 20 (+19)
Product 727: 3 => 9 (+6)
Product 728: 10 => 20 (+10)
Product 729: 40 => 49 (+9)
Product 741: 80 => 130 (+50)
Product 745: 6 => 9 (+3)
Product 746: 8 => 26 (+18)
Product 755: 760 => 1610 (+850)
Product 756: 640 => 1110 (+470)
Product 757: 420 => 540 (+120)
Product 764: 140 => 160 (+20)
Product 765: 4 => 3 (-1)
Product 767: 150 => 180 (+30)
Product 774: 14 => 17 (+3)
Product 775: 3 => 1 (-2)
Product 776: 150 => 170 (+20)
Product 778: 6 => 43 (+37)
Product 782: 1 => 0 (-1)
Product 784: 1 => 2 (+1)
Product 785: 13 => 17 (+4)
Product 786: 7 => 8 (+1)
Product 788: 2 => 3 (+1)
Product 795: 550 => 1390 (+840)
Product 796: 100 => 219 (+119)
Product 800: 3 => 4 (+1)
Product 803: 3 => 2 (-1)
Product 804: 2 => 1 (-1)
Product 805: 25 => 27 (+2)
Product 808: 47 => 133 (+86)
Product 809: 20 => 22 (+2)
Product 813: 2 => 0 (-2)
Product 814: 90 => 80 (-10)
Product 816: 27 => 58 (+31)
Product 818: 15 => 16 (+1)
Product 820: 150 => 240 (+90)
Product 825: 14 => 31 (+17)
Product 826: 4 => 0 (-4)
Product 830: 3 => 0 (-3)
Product 832: 19 => 21 (+2)
Product 833: 11 => 12 (+1)
Product 839: 30 => 10 (-20)
Product 840: 1 => 0 (-1)
Product 843: 12 => 22 (+10)
Product 846: 130 => 140 (+10)
Product 853: 34 => 46 (+12)
Product 859: 1 => 3 (+2)
Product 860: 500 => 900 (+400)
Product 861: 20 => 0 (-20)
Product 862: 37 => 65 (+28)
Product 865: 70 => 0 (-70)
Product 868: 3 => 5 (+2)
Product 871: 5 => 6 (+1)
Product 873: 39 => 73 (+34)
Product 878: 7 => 8 (+1)
Product 880: 60 => 70 (+10)
Product 881: 5 => 6 (+1)
Product 884: 17 => 38 (+21)
Product 886: 240 => 280 (+40)
Product 890: 110 => 100 (-10)
Product 893: 40 => 0 (-40)
Product 897: 4 => 5 (+1)
Product 898: 4 => 5 (+1)
Product 900: 150 => 100 (-50)
Product 901: 23 => 36 (+13)
Product 903: 6 => 7 (+1)
Product 905: 90 => 310 (+220)
Product 906: 5 => 11 (+6)
Product 908: 4 => 6 (+2)
Product 914: 5 => 6 (+1)
Product 915: 4 => 5 (+1)
Product 921: 50 => 110 (+60)
Product 922: 220 => 340 (+120)
Product 923: 90 => 80 (-10)
Product 926: 3 => 6 (+3)
Product 930: 1 => 2 (+1)
Product 951: 10 => 0 (-10)
Product 952: 12 => 24 (+12)
Product 953: 4 => 5 (+1)
Product 954: 180 => 200 (+20)
Product 955: 80 => 90 (+10)
Product 956: 20 => 40 (+20)
Product 958: 70 => 60 (-10)
Product 964: 100 => 120 (+20)
Product 973: 190 => 200 (+10)
Product 980: 31 => 52 (+21)
Product 984: 8 => 15 (+7)
Product 985: 220 => 260 (+40)
Product 989: 1 => 0 (-1)
Product 994: 1440 => 3010 (+1570)
Product 995: 4 => 5 (+1)
Product 998: 6 => 13 (+7)
Product 999: 6 => 10 (+4)
Product 1001: 140 => 200 (+60)
Product 1003: 12 => 20 (+8)
Product 1004: 2 => 0 (-2)
Product 1005: 3 => 0 (-3)
