ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 221: 100 => 80 (-20) [Opname: 80, Tx: 0]
Product 223: 60 => 10 (-50) [Opname: 30, Tx: 1]
Product 225: 30 => 0 (-30) [Opname: 10, Tx: 1]
Product 227: 74 => 41 (-33) [Opname: 41, Tx: 0]
Product 230: 0 => 2 (+2) [Opname: 2, Tx: 0]
Product 231: 23 => 20 (-3) [Opname: 21, Tx: 1]
Product 236: 100 => 180 (+80) [Opname: 90, Tx: 2]
Product 237: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 238: 170 => 150 (-20) [Opname: 150, Tx: 0]
Product 239: 170 => 80 (-90) [Opname: 80, Tx: 0]
Product 240: 23 => 20 (-3) [Opname: 20, Tx: 0]
Product 241: 21 => 18 (-3) [Opname: 18, Tx: 0]
Product 245: 29 => 10 (-19) [Opname: 11, Tx: 1]
Product 246: 10 => 8 (-2) [Opname: 8, Tx: 0]
Product 249: 1 => 0 (-1) [Opname: 0, Tx: 1]
Product 253: 150 => 50 (-100) [Opname: 50, Tx: 0]
Product 259: 10 => 9 (-1) [Opname: 10, Tx: 1]
Product 260: 150 => 140 (-10) [Opname: 140, Tx: 0]
Product 264: 40 => 30 (-10) [Opname: 30, Tx: 0]
Product 270: 10 => 0 (-10) [Opname: 0, Tx: 0]
Product 272: 15 => 6 (-9) [Opname: 7, Tx: 1]
Product 273: 6 => 3 (-3) [Opname: 4, Tx: 1]
Product 275: 230 => 180 (-50) [Opname: 180, Tx: 0]
Product 276: 6 => 4 (-2) [Opname: 4, Tx: 0]
Product 277: 80 => 100 (+20) [Opname: 100, Tx: 0]
Product 278: 48 => 7 (-41) [Opname: 7, Tx: 0]
Product 280: 90 => 70 (-20) [Opname: 70, Tx: 0]
Product 281: 0 => 3 (+3) [Opname: 4, Tx: 1]
Product 282: 10 => 6 (-4) [Opname: 6, Tx: 0]
Product 284: 70 => 60 (-10) [Opname: 60, Tx: 0]
Product 285: 50 => 80 (+30) [Opname: 80, Tx: 0]
Product 286: 190 => 170 (-20) [Opname: 170, Tx: 0]
Product 289: 20 => 40 (+20) [Opname: 40, Tx: 0]
Product 290: 120 => 110 (-10) [Opname: 110, Tx: 0]
Product 293: 140 => 230 (+90) [Opname: 130, Tx: 1]
Product 294: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 296: 55 => 45 (-10) [Opname: 47, Tx: 2]
Product 297: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 298: 5 => 8 (+3) [Opname: 5, Tx: 1]
Product 300: 5 => 4 (-1) [Opname: 5, Tx: 1]
Product 301: 2 => 3 (+1) [Opname: 4, Tx: 1]
Product 302: 4 => 3 (-1) [Opname: 4, Tx: 1]
Product 303: 70 => 30 (-40) [Opname: 30, Tx: 0]
Product 306: 8 => 7 (-1) [Opname: 7, Tx: 0]
Product 310: 14 => 22 (+8) [Opname: 12, Tx: 1]
Product 312: 3 => 0 (-3) [Opname: 1, Tx: 1]
Product 314: 14 => 12 (-2) [Opname: 12, Tx: 0]
Product 318: 260 => 170 (-90) [Opname: 190, Tx: 1]
Product 320: 230 => 110 (-120) [Opname: 110, Tx: 0]
Product 321: 290 => 260 (-30) [Opname: 260, Tx: 0]
Product 323: 180 => 190 (+10) [Opname: 100, Tx: 2]
Product 324: 60 => 20 (-40) [Opname: 30, Tx: 1]
Product 325: 3 => 6 (+3) [Opname: 7, Tx: 1]
Product 330: 110 => 90 (-20) [Opname: 110, Tx: 1]
Product 331: 60 => 30 (-30) [Opname: 30, Tx: 0]
Product 333: 50 => 30 (-20) [Opname: 30, Tx: 0]
